id,owner_id,top_comment_text
456241771,-220754053,"Сколько можно ждать очевидной и столь необходимой правки?
СДЕЛАЙТЕ ЧЕЛОВЕЧЕСКУЮ ПЕРЕМОТКУ, ЧТО НА МОБИЛКЕ, ЧТО НА ПК КЛАВИШАМИ < >

ЛЮДИ ИСПОЛЬЗУЮТ ЕЁ, ПОТОМУ ЧТО ХОТЯТ ПЕРЕСМОТРЕТЬ МОМЕНТ, КОТОРЫЙ БУКВАЛЬНО ТОЛЬКО ЧТО ПРОШЁЛ.
ЗАЧЕМ ВАШ ГРЁБAНЫЙ ПЛЕЕР ПЕРЕМАТЫВАЕТ ПОЛОВИНУ ВИДЕО НАЗАД??? Я НЕ ХОЧУ ЖДАТЬ 9 СЕКУНД ЧТОБЫ ПЕРЕСМОТРЕТЬ 1 СЕКУНДНЫЙ МОМЕНТ
И НЕ ДАЙ БОГ ЗАХОЧЕТСЯ ПЕРЕСМОТРЕТЬ НЕСКОЛЬКО РАЗ
ЕСЛИ Я ЗАХОЧУ ОТМОТАТЬ МНОГО, Я МОГУ ИСПОЛЬЗОВАТЬ ЛИНИЮ С ТАЙМЛАЙНОМ"
456241768,-220754053,"Эльдар Джарахов- пошел на х 
Шерстяной !!  Вы достали этими прокладками , просто один и также тупые олени !!! Где его подружка Настюшка - обувных дел мастер ?? Давайте дальше денег этим инфопроституткам !! А потом верхний Ларс"
456241785,-220754053,"Опять эта, Зойка - Читальня?!"
456241783,-220754053,Удачи вам
456241749,-220754053,Всем приятного просмотра и аппетита😄
456241747,-220754053,"Тизер  есть,где выпуск?"
456241738,-220754053,
456241713,-220754053,"0:51-0:55 на момент выхода выпуска, Павел Дуров уже на свободе, но видимо этот выпуск снимали за два дня до того как его выпустили"
456241707,-220754053,"Блин, афиша только, уж обрадовался…"
456241677,-220754053,"Какая ржачная первая девушка🤣😂🤣😍Круто,поржали от души!😃Женя молодечик!!!👏🏼👏🏼👏🏼
Карен красавчик😃👍🏼👍🏼👍🏼Влад❤️‍🔥❤️‍🔥❤️‍🔥Согласна со всеми жюри выбрали прям сымых лучших☺️"
456241670,-220754053,Заипали со своими тизерами! Засоряете людям строку состояния
456241658,-220754053,"Урааа, с праздником) Вы вернулись)"
456241656,-220754053,👍
456241655,-220754053,Ебейший анонс....
456241625,-220754053,"Смотрим, может будет смешно…"
456241620,-220754053,Супер. Я была на съемках этого выпуска)) Очень жду!
456241586,-220754053,"Та выставляйте уже в 3gp, ато балуете прям качеством"
456241582,-220754053,И когда он выйдет?
456241579,-220754053,"Сделайте нормальные ссылки на видео и клипы, чтобы переход был на приложение ВК видео, а не на сайт или ВК клипы (они вообще не нужны по сути)."
456241555,-220754053,Смешно и не висит - это же прекрасно!)
456241551,-220754053,Что за утырок вместо ведущего?
456241547,-220754053,"Урааа, товарищиии👍👍👍😆"
456241515,-220754053,😺👍
456241497,-220754053,"Если наш народ опустится до этого, будет сложно сложно вернуться хотя бы к 1950 году. 21 век - возврат к 15 веку до нашей эры."
456241437,-220754053,Урааааа
456241435,-220754053,Херня
456241316,-220754053,Урааааааа
456241304,-220754053,
456241042,-220754053,
456241039,-220754053,
456241038,-220754053,"если  этим популярным артистам отключить фонеру,получится поющая полупьяная дамочка или бухой мужик в караоке баре в спальном райончике каждого города😁"
456241034,-220754053,Наконец то что-то интересное. Выкладывайте уже фул.
456241028,-220754053,"Продам двух рабов, выше ссылки"
456241025,-220754053,"выпуск Шредингера, в плейлисте - есть, а по факту - нет"
456240997,-220754053,"Даша Дошик, Диана Астер, Янгер, Слава Копейкин, Ася Резник, Вера Вольт, привет привет, рады вас видеть, вы лучшие 😍😎🤘👍"
456240986,-220754053,Классные гости
456240985,-220754053,Наконец
456240982,-220754053,Хз
456240979,-220754053,Смотрим!
456240976,-220754053,Ждём!!!! ❤️
456240969,-220754053,"Урааааа, наконец то второй выпуск😍🔥"
456240966,-220754053,Гадость какая!
456240962,-220754053,"Кстати, у нее когда-то тоже был первым..."
456240960,-220754053,Когда полный выпуск?
456240933,-220754053,"Ооо, Горох 🔥❤️"
456240929,-220754053,А куда подписаться то ?
456240927,-220754053,Ну что первый)
456240924,-220754053,1нах
456240915,-220754053,что что а Васанта не ожидал тут увидеть
456240914,-220754053,"Круто, но это всё для них Москва -авропа, в России это невозможно"
456240897,-220754053,Прекрасный выпуск
456240891,-220754053,Круто!
456240878,-220754053,Т.е. клипы это отрывки из полных роликов?
456240865,-220754053,кстати посмотрим
456240864,-220754053,"Ура! Дождались! Наконец-то Регионы, Юлианна Караулова!!! ❤️❤️❤️"
456240800,-220754053,"Дорох и казахи лучшие 🫶🏻
Только ради них и смотрел 👍🏻

(прилагаю песню с регионов, кто ищет)"
456240799,-220754053,Спасибо за выпуск👏🏻
456240798,-220754053,За Соболева лайк 👍
456240789,-220754053,Пусть победит смешнейний
456240783,-220754053,"Это было ""смешно!"" Тру первый ❤"
456240774,-220754053,Сегодня истории самые интересные
456240773,-220754053,Здравствуйте 🤍 Когда выпуск? Где смотреть?
456240763,-220754053,Когда звезды?Обычно вы говорите время
456240761,-220754053,"Вай, я первая 😂😂😂😂"
456240702,-220754053,"[id699437145|Ilya], Забор."
456240681,-220754053,"Зачем люди платят за то, чтобы это снимать. Зачем пропагандировать слабость, поощрять жалостью? Почему нет фильма про суть воспитания, как родители могут любить своих детей, помогать социализироваться, объяснять принципы отношений?"
456240680,-220754053,Смотрим!
456240679,-220754053,Крутяк!
456240675,-220754053,Опять какие-то неизвестные... Скорее неинтересные гости... 😔
456240666,-220754053,Алпамыс
456240670,-220754053,первая?
456240652,-220754053,мне ооочень понравился выпуск😍
456240651,-220754053,"Я так и живу, абсолютно одна"
456240644,-220754053,Первый нах!
456240629,-220754053,
456240620,-220754053,Спасибо - не надо.
456240616,-220754053,Пошло!)
456240612,-220754053,Первый
456240614,-220754053,первый
456240606,-220754053,Ням-ням☺
456240594,-220754053,
456240592,-220754053,Надо ж д0лб@ёб0м было таким родиться
456240563,-220754053,interesting person🤔
456240555,-220754053,ураа!
456240553,-220754053,Спасибо за Быкова!
456240550,-220754053,"Наконец-то ""Купание обезьяны в тёплой воде""!"
456240531,-220754053,Казахи выиграют
456240495,-220754053,Огнище выпуск!!! Продолжение будет?)
456240493,-220754053,У деда диплом есть?
456240484,-220754053,"Пожалуйста, продолжайте!!!!!!!!!"
456240482,-220754053,"Зачем чебатков везде говорит что он чебатков - какая же он слабая творческая личность, что пытается все о себе напомнить когда где то появляется, а не юмором 🤦‍♂️ нулевой типа комик"
456240478,-220754053,"Уважаю это шоу, но этих никого не знаю 🤣🤣🤣"
456240452,-220754053,😁😁😁
456240451,-220754053,Во сколько будет?
456240447,-220754053,БОЛЕЮ ЗА ДОРОХА ДО КОНЦА
456240445,-220754053,Первый нах
456242422,-220754053,💪💪💪💪💪💪💪
456240435,-220754053,Герой нашего времени
456240433,-220754053,😍
456240390,-220754053,Первый день
456240394,-220754053,
456240391,-220754053,Во сколько будет?
456240388,-220754053,Это его стихи?
456240384,-220754053,Почему врачи никогда не умеют объяснять простым языком???
456240382,-220754053,😍
456240379,-220754053,"Мне одному кажется ,что Чебатков немного ПЕРЕИГРЫВАЕТ ,делая интересную передачу ,плохой"
456240370,-220754053,Почувствуйте вайб программ на Рен-ТВ нулевых
456240366,-220754053,😂😂😂
456240358,-220754053,Наконец-то дождались 😜
456240359,-220754053,Здравствуйте когда уже Вы порадует нас новым 35 выпуском?!? 👍
456240320,-220754053,Когда новый выпуск звезды
456240318,-220754053,😍
456240305,-220754053,Какой у Мим приятный голос. Мягкий очень. И мои переживания очень похожи на ее.
456240303,-220754053,Жду с нетерпением! Мия мы с тобой! ❤️❤️❤️
456240298,-220754053,Ждем 😁
456240293,-220754053,передача топ спасибо!!
456240292,-220754053,Стыдно за эту молодёжь что в головах только дениги
456242420,-220754053,Песня топ
456240275,-220754053,Жду на этой программе РЭПЕРА 3DEJAVU
456240273,-220754053,это после Меллстроя?)
456240249,-220754053,💩
456240248,-220754053,отлично
456240242,-220754053,Ура! Наконец-то! Спасибо модники вы наши! 😅🎉🎉🎉
456240238,-220754053,Когда выйдет то
456240237,-220754053,"Очень интересную серию видео делаете. Всё очень попадает. Компьютер в моей семье был с 1990 года, игры с магнитофона Романтик, БэКашка..и.т.д. Первые игры, переводы, всё очень близко"
456240235,-220754053,"Необычно. Что-то новенькое будто, по сравнению с 90% сегодняшней попсы."
456240228,-220754053,Как это круто 👍 !
456240233,-220754053,😍
456240225,-220754053,😍
456240223,-220754053,
456240213,-220754053,"Это конечно хорошо, но когда История на ночь?"
456240214,-220754053,Бегу смотреть!
456240204,-220754053,А история на ночь??????????????????
456240172,-220754053,Урааа!!!!
456240162,-220754053,Алло
456240159,-220754053,Первый нах🤣🤣🤣
456240142,-220754053,Ждем!
456240138,-220754053,Где найти след. Серию?
456240120,-220754053,"Российское дево.. мде) 
Пс: я шарю за Булджа и все его обалденные истории, но камон.. оглянитесь вокруг)"
456240108,-220754053,Наконец-то 😌
456240102,-220754053,"Какой кайф! :) Уже хочется посмотреть про наши любимые подвальчики, про клуб Орки в МИСИСе, про ORKY Team и пр. :)"
456240098,-220754053,"Хотелось бы узнать больше про бум китайских игр (в какую игру вложить деньги, кто платит за потраченное время в игре, кто нанимает ""фермеров"")"
456240094,-220754053,Годнота подъехала
456240087,-220754053,"Блин , ждал обычный выпуск ("
456240085,-220754053,😂😂😂😂
456240062,-220754053,Привет
456240061,-220754053,Трейлер супер спасибо 🔥!
456240048,-220754053,"VK Видео создавай, загружай! 👏🏻👏🏻👏🏻"
456240037,-220754053,
456240036,-220754053,"Ура! Ну наконец-то Паша к Вам ещё раз пришёл! Гарику спасибо за то, что пригласил Настасью Самбурскую👍🏻! Поздравляем всех женщин ""С днём всех влюблённых!"" ❤️💝❤️"
456240004,-220754053,Ура ура  ❤️
456240003,-220754053,Ура! 30 выпуск и 100-й гость Сосо Павлиашвили! Поздравляем! 🥳🥳🥳
456239997,-220754053,Вот это я вовремя зашла😍😍😍
456239998,-220754053,Когда выход?
456239983,-220754053,Неожиданно приятно!
456239984,-220754053,"Кстати с возвращением! 🥳🥳🥳 Наконец-то новый выпуск скучали, скучали и соскучились! С Пашей Деревянко выпуск получится просто бомба🤘🏻!"
456239980,-220754053,"Классный проект, ждём финал и 2 сезон"
456239979,-220754053,
456239976,-220754053,Целлулоид  попробуйте завернуть в бумагу и поджечь. Дыма будет больше.
456239975,-220754053,Журавль и Сатир прям как название басни
456239973,-220754053,Вообще не зашла Теща.. ждала...не зашёл Иван Васильевич..  после...посмотрела зону 3. ....честно ...посмеялась ткровенно...сильно...и много...вот жду...может гусар зайдёт...но не факт...там и ох и чбд....отвлеклась от серых будней....спасибо ЗК
456239966,-220754053,ПОЧЕМУ ОН ЗАКОНЧИЛСЯЯЯЯЯЯЯ
456239968,-220754053,
456239960,-220754053,Очумелые ручки вспомнил
456239959,-220754053,"Что там пишут? Я первый? Окей, я первая"
456239957,-220754053,
456239956,-220754053,Я первая💓
456239954,-220754053,😅😅
456239952,-220754053,Кто все эти люди….
456239950,-220754053,Когда?😍
456239947,-220754053,...и ведущий - КУБышка
456239948,-220754053,"На ютуб когда зальёте, подскажите пожалуйста?"
456239941,-220754053,Не густо
456239939,-220754053,Наконец-то Андрея признали
456239937,-220754053,👀👀👀 СТОЙКИ ДЛЯ РЕКЛАМНОГО БИЗНЕСА vk.com/biznareklama 👍👍👍
456239936,-220754053,С чем связано такое частое появление Яровицыной???
456239934,-220754053,Здрааасьте.
456239932,-220754053,1
456239930,-220754053,
456239929,-220754053,Ееее я первый!!?
456239927,-220754053,
456239926,-220754053,Олень ультрахорош
456239925,-220754053,Чисто рандомно попалось видео...Как будто я опять в школе после уроков смотрю Галилео...Огромное спасибо что пробуждаете в детях тягу к науке
456239922,-220754053,А мне можно!
456239942,-220754053,
456239919,-220754053,👀👀👀 СТОЙКИ ДЛЯ РЕКЛАМНОГО БИЗНЕСА vk.com/biznareklama 👍👍👍
456239918,-220754053,"С Новым Годом!
"
456239916,-220754053,
456239915,-220754053,🤔Чем отличается от серий?..
456239914,-220754053,Когда?)
456239913,-220754053,"Кто эти утырки, которые в моей ленте???"
456239912,-220754053,Как это удалить
456239908,-220754053,
456239907,-220754053,🤣🤣🤣🤣🤣
456239905,-220754053,Когда начало
456239899,-220754053,Завтра 31 декабря
456239897,-220754053,Ва. Сколько и где сматрет
456239646,-220754053,🫶🏻
456239853,-220754053,Опа
456239852,-220754053,
456239867,-220754053,VK Видео с наступающим новым годом! 🎉🎄🎉
456239694,-220754053,Как раз чай готов
456239676,-220754053,Когда ЧБД ?
456239651,-220754053,😍😍😍
456239649,-220754053,
456239643,-220754053,
456239641,-220754053,Опять ноунеймы
456239640,-220754053,Занятные ребята!!!
456239639,-220754053,"Отличный выпуск Баста крутой
С новым годом и ище кстати если будет новый выпуск кстати на след недели то ждем павел воля"
